acctnum,gender,state,zip,zip3,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,reference,art,geog,buyer
16066,F,NJ,8050,80,7,11,19,283,302,1,0,0,0,0,0,0,1,no
16067,F,NY,12538,125,13,15,20,24,44,1,0,0,1,0,0,0,0,no
16068,F,RI,2837,28,15,19,18,98,116,1,1,0,0,0,0,0,0,no
16069,F,MA,1020,10,13,10,28,88,116,2,0,0,2,0,0,0,0,no
16070,F,MD,20710,207,11,14,19,1,20,1,1,0,0,0,0,0,0,no
16071,F,MD,21208,212,43,12,141,98,239,12,2,2,1,1,1,3,2,no
16072,F,NY,10465,104,11,14,27,6,33,2,0,1,1,0,0,0,0,no
16073,F,NJ,8817,88,13,17,20,281,301,1,0,0,0,1,0,0,0,no
16074,M,NY,11375,113,7,10,29,89,118,2,1,0,0,0,0,0,1,yes
16075,F,NY,10021,100,15,19,18,224,242,1,0,0,0,1,0,0,0,no
16076,F,NY,10021,100,17,16,26,235,261,2,2,0,0,0,0,0,0,no
16077,M,CT,6762,67,39,24,63,29,92,5,1,0,0,2,0,0,2,no
16078,F,NJ,7424,74,43,15,139,154,293,12,3,3,4,1,1,0,0,no
16079,F,NJ,8859,88,27,27,27,53,80,2,0,0,2,0,0,0,0,no
16080,M,CT,6088,60,37,14,108,185,293,8,0,0,1,3,0,1,3,no
16081,F,NJ,8031,80,31,20,52,161,213,4,1,0,2,0,0,0,1,no
16082,M,MA,2134,21,27,22,55,257,312,4,1,0,1,0,1,1,0,no
16083,F,NY,11580,115,45,21,123,177,300,10,3,0,1,1,2,0,3,no
16084,M,NJ,7960,79,17,11,65,41,106,5,1,0,1,1,0,1,1,no
16085,M,NY,11228,112,47,18,134,343,477,12,4,1,4,2,0,0,1,no
16086,M,DC,20019,200,49,7,129,165,294,10,2,0,0,1,1,3,3,yes
16087,F,PA,19152,191,9,9,33,65,98,2,0,1,0,0,0,1,0,no
16088,M,NY,11365,113,5,6,30,32,62,2,1,0,0,0,0,1,0,no
16089,F,NJ,7003,70,17,12,31,7,38,2,0,0,0,0,1,1,0,yes
16090,M,NJ,7109,71,19,5,70,150,220,6,0,1,1,2,2,0,0,yes
16091,F,PA,19043,190,17,13,25,33,58,2,0,2,0,0,0,0,0,no
16092,F,NY,11758,117,15,18,20,270,290,1,0,0,0,0,0,1,0,no
16093,F,PA,19078,190,5,8,20,169,189,1,0,0,1,0,0,0,0,no
16094,F,NY,11576,115,11,7,49,278,327,4,4,0,0,0,0,0,0,no
16095,F,CT,6095,60,1,3,19,272,291,1,0,0,1,0,0,0,0,no
16096,F,MD,20723,207,13,17,18,230,248,1,0,0,1,0,0,0,0,no
16097,F,PA,17557,175,11,8,31,175,206,2,1,0,0,0,0,0,1,no
16098,F,MD,21042,210,51,8,99,271,370,9,3,2,1,2,0,0,1,no
16099,M,NY,12520,125,37,17,65,172,237,6,2,1,2,1,0,0,0,no
16100,F,MA,2050,20,29,35,15,91,106,1,1,0,0,0,0,0,0,no
16101,F,NJ,8084,80,27,8,59,235,294,5,1,0,3,0,0,0,1,no
16102,F,NJ,7205,72,43,20,88,74,162,7,0,2,1,2,0,0,2,no
16103,M,NY,11236,112,9,8,30,277,307,2,0,0,1,1,0,0,0,no
16104,F,PA,16046,160,3,8,20,292,312,1,0,0,0,1,0,0,0,no
16105,F,MA,2035,20,43,10,101,134,235,9,2,1,3,1,0,2,0,no
16106,F,NJ,8859,88,1,4,19,49,68,1,0,0,0,0,0,0,1,no
16107,F,MA,1890,18,7,11,20,243,263,1,0,0,1,0,0,0,0,no
16108,F,NJ,8226,82,17,15,30,277,307,2,1,0,1,0,0,0,0,yes
16109,F,NY,10003,100,67,5,134,177,311,12,3,2,2,1,2,2,0,no
16110,F,NY,11501,115,25,5,115,262,377,10,4,3,0,0,0,3,0,yes
16111,F,MA,2149,21,35,40,17,289,306,1,0,0,0,1,0,0,0,no
16112,M,CT,6473,64,7,7,31,187,218,2,0,0,0,0,1,1,0,yes
16113,M,NY,10704,107,7,7,27,259,286,2,1,0,1,0,0,0,0,no
16114,F,NY,11377,113,7,5,32,187,219,2,0,1,0,0,0,0,1,no
16115,F,NY,10977,109,31,13,124,309,433,11,3,2,4,0,0,2,0,no
16116,M,NY,10606,106,17,7,55,117,172,4,0,0,0,2,1,1,0,no
16117,F,NY,10917,109,19,22,20,197,217,1,0,0,0,0,1,0,0,no
16118,M,MD,21120,211,17,20,29,177,206,2,0,0,2,0,0,0,0,no
16119,M,MA,1002,10,37,20,62,148,210,5,1,0,1,0,1,0,2,yes
16120,M,NJ,7620,76,41,11,114,232,346,10,2,0,3,2,1,1,1,no
16121,M,NY,11946,119,41,12,100,80,180,8,1,2,1,0,1,1,2,no
16122,F,NY,11771,117,49,33,96,99,195,8,1,1,3,1,0,1,1,no
16123,F,PA,18968,189,15,17,19,236,255,1,1,0,0,0,0,0,0,no
16124,F,NY,11210,112,23,7,92,109,201,8,2,1,2,0,1,2,0,no
16125,M,NY,11203,112,35,34,28,192,220,2,0,1,0,0,1,0,0,no
16126,M,PA,19067,190,23,19,27,124,151,2,1,0,0,1,0,0,0,no
16127,F,NY,10023,100,21,19,30,211,241,2,0,0,0,1,0,1,0,no
16128,F,PA,19124,191,15,13,31,256,287,2,1,0,0,0,1,0,0,no
16129,M,MA,1118,11,25,13,52,196,248,4,1,0,1,1,0,0,1,no
16130,F,PA,19087,190,11,13,29,53,82,2,1,0,0,1,0,0,0,no
16131,F,NY,10003,100,31,35,19,266,285,1,0,0,0,0,0,0,1,no
16132,F,NY,11746,117,33,37,16,268,284,1,0,0,1,0,0,0,0,no
16133,F,MA,1085,10,37,39,31,258,289,2,0,0,1,1,0,0,0,no
16134,F,PA,15241,152,27,19,52,156,208,4,0,0,2,0,1,1,0,yes
16135,M,CT,6419,64,33,19,92,157,249,8,2,1,0,3,0,1,1,no
16136,F,NJ,7065,70,37,38,28,213,241,2,2,0,0,0,0,0,0,no
16137,M,PA,18411,184,13,18,17,145,162,1,0,1,0,0,0,0,0,no
16138,F,MD,20854,208,23,23,31,83,114,2,0,0,1,0,0,1,0,no
16139,M,NJ,8733,87,15,15,33,23,56,2,0,1,0,0,1,0,0,no
16140,F,NY,14067,140,31,33,15,51,66,1,1,0,0,0,0,0,0,no
16141,F,NY,11040,110,13,10,31,126,157,2,0,0,1,0,0,1,0,no
16142,F,ME,4460,44,15,19,18,49,67,1,1,0,0,0,0,0,0,no
16143,M,PA,15218,152,15,12,30,145,175,2,0,0,1,1,0,0,0,no
16144,M,PA,19454,194,45,23,132,114,246,10,0,0,4,1,1,2,2,no
16145,F,MA,2129,21,23,17,28,23,51,2,1,0,1,0,0,0,0,no
16146,F,MD,20658,206,17,16,31,278,309,2,1,0,0,0,0,1,0,no
16147,F,PA,19135,191,17,20,17,175,192,1,0,0,1,0,0,0,0,no
16148,M,PA,19607,196,37,11,61,315,376,5,0,2,0,2,0,1,0,no
16149,F,NY,12451,124,13,17,24,113,137,2,2,0,0,0,0,0,0,no
16150,F,NY,11520,115,9,14,19,86,105,1,0,0,0,0,0,0,1,no
16151,M,NY,11758,117,59,28,144,214,358,12,1,1,4,4,0,2,0,no
16152,F,MA,1020,10,25,25,32,75,107,2,0,1,0,0,0,0,1,no
16153,F,NY,11414,114,15,20,16,286,302,1,0,0,1,0,0,0,0,no
16154,M,NJ,7843,78,49,6,137,158,295,12,1,2,2,3,2,1,1,no
16155,M,MA,2171,21,47,12,119,248,367,10,1,1,2,2,1,1,2,no
16156,F,NY,11361,113,3,7,16,298,314,1,0,0,1,0,0,0,0,no
16157,M,NJ,8619,86,7,5,31,85,116,2,0,0,2,0,0,0,0,yes
16158,M,NY,10044,100,39,14,113,74,187,10,2,1,3,1,0,2,1,yes
16159,M,PA,18042,180,95,32,143,105,248,12,1,1,2,3,1,3,1,no
16160,F,NJ,7410,74,17,19,31,53,84,2,0,1,0,0,0,1,0,no
16161,F,MA,1561,15,17,7,46,294,340,4,2,2,0,0,0,0,0,no
16162,F,NJ,7034,70,11,12,32,241,273,2,0,0,1,0,0,1,0,no
16163,F,NY,10021,100,11,13,17,31,48,1,0,0,1,0,0,0,0,no
16164,F,PA,18104,181,29,6,132,55,187,11,4,0,1,1,2,2,1,yes
16165,F,NY,14219,142,11,15,17,214,231,1,0,0,0,0,0,0,1,no
16166,M,NJ,8059,80,19,21,34,47,81,2,0,0,1,0,0,0,1,no
16167,F,PA,17110,171,5,10,19,265,284,1,0,0,0,0,1,0,0,no
16168,F,DE,19701,197,65,14,109,218,327,10,2,1,4,1,0,0,2,no
16169,F,NJ,7652,76,45,16,112,253,365,9,0,0,4,2,0,1,2,no
16170,F,NY,14221,142,5,7,16,120,136,1,0,1,0,0,0,0,0,no
16171,F,NY,11226,112,5,8,18,14,32,1,0,0,1,0,0,0,0,no
16172,F,NY,11783,117,13,16,17,290,307,1,0,0,1,0,0,0,0,no
16173,M,MA,2035,20,23,27,20,125,145,1,0,0,0,1,0,0,0,no
16174,M,NY,11550,115,33,36,20,0,20,1,0,0,0,1,0,0,0,no
16175,F,NY,12020,120,61,18,114,296,410,10,3,1,2,1,2,0,1,no
16176,F,MD,20854,208,17,17,30,248,278,2,0,0,0,1,0,1,0,no
16177,F,NY,12110,121,53,35,131,284,415,11,2,1,1,0,4,2,1,yes
16178,F,NJ,7631,76,21,14,35,202,237,3,1,1,1,0,0,0,0,no
16179,F,NH,3275,32,9,14,17,51,68,1,0,0,0,0,0,0,1,no
16180,F,NH,3810,38,35,38,30,254,284,2,0,0,1,0,1,0,0,no
16181,M,NY,10954,109,23,4,78,66,144,6,1,0,0,1,2,1,1,no
16182,M,NJ,8854,88,23,25,28,196,224,2,0,0,2,0,0,0,0,no
16183,F,NY,10021,100,25,6,61,25,86,5,1,0,2,0,1,1,0,no
16184,M,PA,18966,189,23,21,31,236,267,2,1,0,1,0,0,0,0,no
16185,F,NY,10021,100,13,14,30,239,269,2,0,0,1,1,0,0,0,no
16186,F,NY,10801,108,21,17,31,300,331,2,0,1,0,0,1,0,0,no
16187,M,PA,15236,152,23,9,127,274,401,10,1,0,3,3,0,1,2,no
16188,F,NJ,8052,80,13,4,35,206,241,3,2,0,1,0,0,0,0,no
16189,F,NY,13750,137,43,22,60,309,369,5,2,0,2,0,0,0,1,no
16190,F,PA,16801,168,19,14,33,190,223,3,3,0,0,0,0,0,0,no
16191,F,NY,13601,136,11,13,17,283,300,1,0,0,0,1,0,0,0,no
16192,F,NJ,7439,74,11,15,15,233,248,1,0,0,0,0,1,0,0,no
16193,F,NJ,8226,82,3,8,16,194,210,1,1,0,0,0,0,0,0,no
16194,M,PA,19380,193,51,29,126,280,406,11,2,2,1,2,2,1,1,no
16195,F,NY,14226,142,23,6,95,280,375,8,0,2,2,1,2,0,1,no
16196,F,DE,19808,198,25,14,42,12,54,3,0,1,1,0,1,0,0,no
16197,F,MA,1462,14,53,16,81,90,171,7,1,0,4,0,1,1,0,no
16198,M,NJ,8904,89,47,14,85,116,201,7,3,1,0,0,0,1,2,no
16199,F,NY,11788,117,7,5,34,206,240,2,1,0,0,0,0,0,1,yes
16200,F,MA,1913,19,41,5,90,69,159,8,4,1,2,1,0,0,0,no
16201,F,NY,11224,112,9,11,16,258,274,1,0,0,1,0,0,0,0,no
16202,M,NJ,7834,78,17,18,29,185,214,2,1,1,0,0,0,0,0,no
16203,M,NJ,7424,74,1,5,18,96,114,1,1,0,0,0,0,0,0,no
16204,F,MD,21201,212,41,39,27,250,277,2,0,1,0,0,0,0,1,no
16205,F,NJ,7656,76,37,20,45,87,132,4,1,1,1,0,0,1,0,no
16206,F,NY,14051,140,5,10,18,26,44,1,0,0,0,0,0,1,0,yes
16207,F,NJ,7045,70,19,18,33,8,41,2,0,0,0,1,0,1,0,no
16208,F,MD,21221,212,69,16,138,250,388,11,1,3,0,1,1,4,1,yes
16209,M,PA,19512,195,33,14,97,34,131,8,3,0,3,0,0,1,1,no
16210,F,NJ,7960,79,15,19,19,83,102,1,0,0,1,0,0,0,0,no
16211,F,CT,6489,64,9,14,19,134,153,1,1,0,0,0,0,0,0,no
16212,M,PA,19008,190,53,29,142,217,359,12,1,0,6,4,0,1,0,no
16213,M,NY,14207,142,53,19,137,301,438,12,4,1,3,2,1,0,1,no
16214,M,NJ,7043,70,15,18,29,69,98,2,1,0,0,1,0,0,0,no
16215,F,NJ,7030,70,29,31,31,62,93,2,0,0,1,0,0,0,1,no
16216,F,MA,1085,10,17,15,37,306,343,3,0,1,1,0,0,0,1,no
16217,F,NY,10011,100,31,33,32,70,102,2,0,0,0,1,0,0,1,no
16218,F,MD,21093,210,11,13,31,7,38,2,0,0,0,1,1,0,0,no
16219,M,NY,11219,112,45,7,115,47,162,10,3,1,1,2,0,2,1,no
16220,F,NY,10960,109,13,16,15,290,305,1,1,0,0,0,0,0,0,no
16221,F,NY,11218,112,13,18,16,256,272,1,0,0,0,0,0,0,1,no
16222,M,PA,15234,152,17,13,46,233,279,4,2,1,1,0,0,0,0,no
16223,M,NJ,8033,80,75,30,97,318,415,8,1,0,3,1,1,1,1,no
16224,M,MD,21047,210,1,5,20,168,188,1,0,0,1,0,0,0,0,no
16225,F,MD,21012,210,35,34,30,191,221,2,1,0,1,0,0,0,0,no
16226,M,CT,6497,64,29,5,114,288,402,10,4,1,1,2,0,1,1,no
16227,M,NY,14102,141,15,17,30,6,36,2,0,0,0,0,0,1,1,no
16228,F,NY,11360,113,23,9,53,261,314,4,1,0,1,0,0,1,1,no
16229,F,NY,11778,117,19,22,20,187,207,1,0,0,0,1,0,0,0,no
16230,F,PA,19063,190,15,18,16,96,112,1,0,0,0,0,0,0,1,no
16231,F,MA,1940,19,13,14,29,191,220,2,1,0,0,0,0,0,1,no
16232,F,NY,10028,100,7,10,19,178,197,1,0,0,1,0,0,0,0,no
16233,F,PA,19406,194,15,17,15,127,142,1,0,0,1,0,0,0,0,no
16234,F,CT,6419,64,29,19,66,124,190,5,1,0,0,0,0,2,2,no
16235,F,MD,21212,212,5,8,18,61,79,1,0,1,0,0,0,0,0,no
16236,F,CT,6611,66,13,17,18,264,282,1,0,0,0,0,0,0,1,no
16237,M,MD,21208,212,33,13,55,88,143,5,1,1,2,1,0,0,0,no
16238,F,MA,2532,25,49,30,65,325,390,6,2,0,3,0,1,0,0,no
16239,F,MD,20732,207,43,33,38,177,215,3,2,0,0,1,0,0,0,no
16240,M,PA,19560,195,19,11,40,209,249,3,0,0,2,0,1,0,0,no
16241,M,PA,19107,191,41,11,98,86,184,9,3,1,3,1,0,0,1,no
16242,M,NY,11793,117,31,9,72,252,324,6,2,1,0,1,1,1,0,no
16243,F,MA,1201,12,1,5,16,204,220,1,0,0,1,0,0,0,0,no
16244,M,NY,10016,100,15,20,20,228,248,1,0,0,0,0,0,1,0,yes
16245,F,NY,10021,100,37,39,28,253,281,2,1,0,1,0,0,0,0,no
16246,F,PA,15237,152,43,25,96,273,369,8,2,0,2,1,1,0,2,no
16247,M,MD,21236,212,7,11,17,168,185,1,0,0,0,0,0,1,0,yes
16248,F,NY,10039,100,17,21,18,50,68,1,0,0,0,0,0,0,1,no
16249,F,NY,11372,113,43,23,88,106,194,8,3,1,2,0,1,1,0,no
16250,F,NY,11375,113,67,33,110,165,275,9,1,3,0,1,0,1,3,yes
16251,M,MA,2170,21,9,4,27,55,82,2,0,0,2,0,0,0,0,no
16252,F,NY,13760,137,35,7,140,232,372,12,3,0,2,2,0,3,2,yes
16253,M,NY,11729,117,47,19,105,274,379,9,2,2,1,2,0,1,1,no
16254,F,MD,21208,212,37,14,71,119,190,6,3,1,0,0,0,0,2,no
16255,M,NY,11234,112,13,16,19,162,181,1,0,0,0,1,0,0,0,no
16256,M,CT,6801,68,21,19,36,15,51,3,1,0,0,1,0,1,0,no
16257,M,NY,12592,125,13,9,45,288,333,4,1,2,1,0,0,0,0,no
16258,F,NJ,7643,76,13,17,15,189,204,1,0,0,1,0,0,0,0,no
16259,M,NY,10976,109,57,8,125,219,344,11,3,0,4,0,1,0,3,no
16260,F,MD,21045,210,9,8,29,64,93,2,1,1,0,0,0,0,0,no
16261,F,CT,6384,63,27,16,71,210,281,6,1,1,2,0,1,0,1,no
16262,M,PA,19078,190,7,11,20,3,23,1,0,0,0,1,0,0,0,no
16263,F,NY,11743,117,11,13,29,205,234,2,1,0,0,0,0,1,0,no
16264,M,NJ,8901,89,61,26,89,199,288,7,1,0,3,0,0,0,3,no
16265,F,NY,11415,114,17,17,31,287,318,2,0,0,1,0,1,0,0,no
16266,M,NY,14228,142,17,15,32,272,304,2,0,0,1,0,0,1,0,no
16267,F,CT,6430,64,3,6,18,72,90,1,1,0,0,0,0,0,0,no
16268,M,NY,14610,146,83,24,136,342,478,12,2,3,2,2,0,1,2,no
16269,M,MA,1106,11,13,9,30,60,90,2,0,0,0,0,0,1,1,no
16270,F,NJ,7726,77,9,12,19,77,96,1,0,1,0,0,0,0,0,no
16271,F,PA,18360,183,9,9,34,28,62,2,1,0,0,0,0,1,0,no
16272,M,NY,11357,113,29,15,63,44,107,6,1,2,3,0,0,0,0,no
16273,F,MD,20904,209,7,11,20,208,228,1,0,0,1,0,0,0,0,no
16274,F,NJ,7753,77,63,32,94,97,191,7,1,0,1,0,1,0,4,no
16275,M,PA,17241,172,55,17,124,171,295,11,3,1,3,2,1,1,0,no
16276,F,NY,12065,120,15,15,30,215,245,2,0,0,0,0,1,1,0,no
16277,F,NY,10023,100,11,10,31,42,73,2,0,1,0,0,1,0,0,no
16278,F,MD,21212,212,17,22,18,252,270,1,0,1,0,0,0,0,0,no
16279,F,NY,10034,100,17,16,30,298,328,2,0,0,0,0,0,2,0,no
16280,F,NJ,8721,87,27,30,20,264,284,1,0,0,0,0,0,1,0,no
16281,F,CT,6490,64,15,16,29,145,174,2,1,0,0,0,0,1,0,no
16282,F,NJ,8080,80,7,7,34,46,80,2,0,0,0,0,1,0,1,no
16283,F,PA,16117,161,25,29,18,138,156,1,1,0,0,0,0,0,0,no
16284,M,NJ,7003,70,9,12,21,125,146,1,0,0,0,1,0,0,0,no
16285,M,PA,16602,166,65,32,97,120,217,9,2,2,3,0,0,1,1,no
16286,F,MA,1945,19,1,5,19,83,102,1,1,0,0,0,0,0,0,no
16287,M,MD,20715,207,23,26,19,29,48,1,0,1,0,0,0,0,0,no
16288,M,NJ,7621,76,11,12,31,242,273,2,1,0,0,1,0,0,0,no
16289,M,PA,19050,190,49,8,116,245,361,10,1,2,2,2,1,1,1,no
16290,F,MD,21122,211,27,8,51,311,362,4,2,1,0,0,0,0,1,no
16291,F,MA,2745,27,17,17,28,300,328,2,1,0,1,0,0,0,0,no
16292,F,MD,20814,208,13,17,20,228,248,1,0,0,0,0,0,0,1,no
16293,F,DE,19803,198,37,10,102,55,157,9,3,1,1,1,2,0,1,no
16294,F,NJ,8210,82,37,9,68,49,117,6,1,0,4,0,1,0,0,no
16295,M,NJ,7847,78,1,5,18,14,32,1,0,0,0,0,0,0,1,no
16296,F,NY,10451,104,45,22,84,160,244,7,1,1,4,0,0,0,1,no
16297,F,NY,11561,115,13,16,21,172,193,1,0,0,0,0,0,1,0,no
16298,F,NJ,8873,88,35,30,25,99,124,2,2,0,0,0,0,0,0,no
16299,M,CT,6357,63,39,25,53,226,279,4,1,0,3,0,0,0,0,no
16300,F,NY,11757,117,31,27,28,41,69,2,0,0,1,1,0,0,0,no
16301,F,VA,20164,201,33,39,15,8,23,1,0,0,0,0,0,0,1,no
16302,F,MD,20637,206,29,34,17,115,132,1,0,0,0,1,0,0,0,no
16303,M,CT,6460,64,15,21,20,289,309,1,0,0,0,0,1,0,0,no
16304,M,NY,10604,106,27,4,74,21,95,6,1,0,1,1,1,0,2,no
16305,F,MD,20769,207,11,11,30,49,79,2,0,0,0,0,0,1,1,no
16306,F,NY,14221,142,17,17,29,85,114,2,1,0,1,0,0,0,0,no
16307,F,NY,11726,117,69,38,95,120,215,8,1,0,3,1,2,1,0,no
16308,F,NY,11725,117,29,17,60,150,210,5,1,1,2,0,0,0,1,no
16309,F,NY,14227,142,19,11,38,32,70,3,1,0,0,0,0,0,2,no
16310,F,PA,17112,171,37,26,45,188,233,3,0,0,0,1,1,0,1,no
16311,F,PA,15024,150,13,18,19,198,217,1,0,1,0,0,0,0,0,no
16312,F,NY,11566,115,37,7,81,273,354,7,2,0,4,1,0,0,0,no
16313,F,MA,2764,27,33,39,18,76,94,1,1,0,0,0,0,0,0,no
16314,F,NY,11704,117,9,4,26,190,216,2,0,2,0,0,0,0,0,no
16315,M,MA,2726,27,11,15,19,177,196,1,0,0,0,1,0,0,0,no
16316,F,NY,11557,115,53,29,70,86,156,6,1,1,1,0,0,2,1,no
16317,F,NJ,7730,77,39,10,105,132,237,8,0,2,0,0,0,3,3,yes
16318,F,NJ,8628,86,41,19,76,209,285,6,1,1,0,0,0,2,2,yes
16319,M,NY,11733,117,11,14,15,120,135,1,0,0,0,0,0,0,1,yes
16320,F,NY,12180,121,13,10,33,162,195,2,0,1,0,0,0,0,1,no
16321,M,NH,3053,30,63,13,121,177,298,11,3,0,3,2,1,2,0,no
16322,M,NY,11971,119,3,9,19,226,245,1,0,0,0,0,0,1,0,no
16323,F,NJ,8854,88,7,13,17,221,238,1,0,0,0,0,0,0,1,yes
16324,M,PA,19018,190,37,9,97,156,253,8,4,0,1,1,0,0,2,no
16325,F,PA,16102,161,17,17,28,298,326,2,0,0,2,0,0,0,0,no
16326,F,PA,17404,174,13,16,18,153,171,1,0,0,0,0,1,0,0,no
16327,F,PA,19060,190,9,14,18,225,243,1,0,0,0,0,0,1,0,no
16328,F,PA,18966,189,9,15,18,170,188,1,0,0,0,0,0,1,0,no
16329,M,NY,11214,112,39,14,92,52,144,8,1,1,3,1,2,0,0,no
16330,M,NJ,8512,85,25,25,32,171,203,2,0,1,0,0,0,1,0,no
16331,F,NJ,7014,70,19,24,20,209,229,1,0,1,0,0,0,0,0,no
16332,F,MA,1742,17,31,33,29,146,175,2,0,1,0,0,0,0,1,no
16333,F,PA,19064,190,1,3,15,232,247,1,0,0,1,0,0,0,0,no
16334,M,NY,10471,104,13,5,59,119,178,5,1,0,3,0,0,0,1,no
16335,M,PA,18470,184,11,8,39,239,278,3,0,2,0,0,1,0,0,no
16336,F,MA,1945,19,47,15,82,151,233,7,3,0,1,1,1,1,0,no
16337,F,MA,2651,26,51,8,142,42,184,12,2,2,1,2,2,1,2,yes
16338,F,PA,19090,190,13,13,33,274,307,2,1,0,0,0,0,0,1,no
16339,F,NY,14103,141,35,38,20,193,213,1,0,0,1,0,0,0,0,no
16340,F,MA,2155,21,3,6,17,93,110,1,0,1,0,0,0,0,0,no
16341,F,NJ,8302,83,43,27,92,137,229,7,0,1,3,0,0,0,3,no
16342,F,MD,20776,207,7,11,16,184,200,1,0,1,0,0,0,0,0,no
16343,F,NY,11214,112,29,26,26,184,210,2,1,0,1,0,0,0,0,no
16344,F,PA,15226,152,33,11,86,98,184,7,2,0,1,1,1,2,0,no
16345,F,PA,17602,176,13,15,17,248,265,1,0,0,1,0,0,0,0,no
16346,F,PA,19320,193,29,16,32,306,338,3,1,1,0,1,0,0,0,no
16347,M,PA,19464,194,25,24,32,202,234,2,0,0,1,0,0,0,1,no
16348,F,NY,12060,120,13,15,19,113,132,1,0,0,0,0,0,1,0,no
16349,F,MD,21236,212,39,15,106,166,272,9,2,1,2,0,2,0,2,no
16350,M,NY,14171,141,19,18,33,205,238,2,0,0,0,0,1,0,1,no
16351,F,NY,10605,106,35,37,31,181,212,2,0,0,1,0,0,1,0,no
16352,F,MA,2324,23,27,21,39,173,212,3,1,0,0,1,1,0,0,no
16353,F,PA,19073,190,23,6,84,299,383,7,1,1,1,0,1,1,2,yes
16354,M,MD,20772,207,65,34,138,185,323,12,3,1,2,2,1,1,2,no
16355,F,PA,17109,171,13,16,19,263,282,1,0,0,0,1,0,0,0,no
16356,F,NJ,7044,70,29,17,53,220,273,4,0,0,1,0,1,0,2,no
16357,F,PA,19601,196,17,18,31,140,171,2,1,0,0,1,0,0,0,no
16358,F,CT,6051,60,11,16,16,105,121,1,1,0,0,0,0,0,0,no
16359,F,NJ,8876,88,17,20,16,16,32,1,0,0,1,0,0,0,0,no
16360,F,NY,10027,100,19,11,44,295,339,3,0,0,1,1,0,1,0,no
16361,F,PA,17011,170,5,4,28,254,282,2,1,0,0,0,1,0,0,no
16362,M,NJ,8759,87,27,16,60,77,137,5,1,2,0,1,1,0,0,no
16363,F,NJ,7093,70,43,19,72,143,215,6,2,0,2,0,1,0,1,no
16364,M,NJ,7109,71,59,26,118,327,445,11,3,2,3,1,0,1,1,no
16365,F,NJ,7652,76,21,21,29,106,135,2,1,0,1,0,0,0,0,no
16366,F,NY,10463,104,47,26,75,69,144,6,1,1,1,0,1,1,1,no
16367,F,NY,10466,104,5,7,19,288,307,1,1,0,0,0,0,0,0,no
16368,M,PA,18042,180,1,6,16,150,166,1,1,0,0,0,0,0,0,yes
16369,F,NJ,7083,70,17,14,27,218,245,2,1,0,1,0,0,0,0,no
16370,F,MA,2645,26,35,34,32,212,244,2,0,0,0,0,1,0,1,no
16371,F,PA,17701,177,17,13,31,253,284,2,0,1,0,0,0,0,1,no
16372,F,PA,19073,190,19,14,37,139,176,3,1,0,0,0,1,0,1,no
16373,F,MA,1056,10,13,16,19,194,213,1,0,0,0,0,1,0,0,no
16374,F,NY,11417,114,37,34,28,240,268,2,0,0,1,1,0,0,0,no
16375,F,NY,11101,111,13,17,15,232,247,1,1,0,0,0,0,0,0,no
16376,F,NY,11746,117,9,8,28,7,35,2,1,0,1,0,0,0,0,no
16377,F,NJ,8527,85,15,19,16,152,168,1,1,0,0,0,0,0,0,no
16378,M,PA,19067,190,13,15,32,142,174,2,0,0,0,0,0,2,0,no
16379,F,CT,6430,64,13,16,17,245,262,1,0,0,0,0,1,0,0,no
16380,F,NJ,7043,70,21,20,29,289,318,2,0,0,0,0,0,1,1,yes
16381,F,PA,19073,190,3,8,20,83,103,1,0,0,1,0,0,0,0,no
16382,F,NY,10980,109,21,17,33,107,140,2,0,0,0,1,0,0,1,no
16383,F,NY,10705,107,13,19,15,76,91,1,0,0,1,0,0,0,0,no
16384,F,PA,19136,191,5,11,18,171,189,1,0,1,0,0,0,0,0,no
16385,F,PA,19114,191,13,16,17,40,57,1,0,0,0,0,0,1,0,no
16386,F,NY,11050,110,15,12,26,274,300,2,1,0,1,0,0,0,0,yes
16387,F,NJ,8215,82,27,30,31,169,200,2,1,0,1,0,0,0,0,no
16388,F,NY,11790,117,43,11,80,163,243,7,3,1,1,1,0,0,1,no
16389,M,NY,14850,148,5,8,21,124,145,1,0,0,1,0,0,0,0,no
16390,F,PA,17331,173,11,15,18,286,304,1,0,0,0,0,0,0,1,no
16391,F,NY,14224,142,7,9,15,41,56,1,0,0,0,0,1,0,0,no
16392,F,NY,11542,115,9,14,18,186,204,1,0,0,1,0,0,0,0,no
16393,F,PA,17111,171,19,17,33,200,233,2,1,0,0,0,0,0,1,no
16394,M,PA,18509,185,11,12,33,253,286,2,0,0,0,1,1,0,0,no
16395,M,MA,2553,25,7,7,26,286,312,2,2,0,0,0,0,0,0,no
16396,F,NJ,8854,88,9,14,19,175,194,1,0,0,0,0,0,0,1,no
16397,F,PA,17404,174,23,15,74,226,300,6,0,1,1,0,1,3,0,no
16398,F,NY,11375,113,15,16,28,113,141,2,1,0,1,0,0,0,0,no
16399,M,MD,21227,212,51,17,141,84,225,12,5,0,2,2,1,1,1,no
16400,F,PA,16866,168,7,7,28,212,240,2,1,0,0,1,0,0,0,no
16401,F,NY,14068,140,37,7,118,167,285,10,3,0,2,1,1,1,2,yes
16402,F,MD,21132,211,33,38,19,34,53,1,0,0,1,0,0,0,0,no
